month,brand,videos,views,likes,comments,sov_videos,sov_views,sov_likes,sov_comments
2024-01-01,Speak,1,296791,1889,34,1.0,1.0,1.0,1.0
2024-02-01,Speak,2,233081,3399,299,1.0,1.0,1.0,1.0
2024-04-01,Speak,1,3564,10,2,1.0,1.0,1.0,1.0
2024-06-01,Speak,2,3570308,33928,516,1.0,1.0,1.0,1.0
2024-07-01,Duolingo,2,1158906,17924,2319,1.0,1.0,1.0,1.0
2024-08-01,Duolingo,4,26464905,1041728,30425,1.0,1.0,1.0,1.0
2024-09-01,Duolingo,1,9378864,889017,9740,0.2,0.541621742613966,0.8068432430666355,0.8313417548651417
2024-09-01,Speak,4,7937398,212829,1976,0.8,0.458378257386034,0.19315675693336457,0.1686582451348583
2024-10-01,Duolingo,3,9484826,489671,7187,0.75,0.9951726160404624,0.9997754098260243,0.999443749130858
2024-10-01,Speak,1,46009,110,4,0.25,0.004827383959537648,0.00022459017397571569,0.000556250869141983
2024-11-01,Duolingo,2,4979111,192771,9233,0.5,0.1965611836832984,0.22972064722327487,0.3461552881190717
2024-11-01,Speak,2,20351989,646383,17440,0.5,0.8034388163167016,0.7702793527767251,0.6538447118809283
2024-12-01,Duolingo,5,24687358,674058,27328,0.7142857142857143,0.9522240185315142,0.8424061247903539,0.986784140969163
2024-12-01,Speak,2,1238640,126100,366,0.2857142857142857,0.0477759814684858,0.1575938752096461,0.013215859030837005
2025-01-01,Duolingo,1,96963,1343,101,0.25,0.04446477458762674,0.021093136485000785,0.09619047619047619
2025-01-01,Speak,3,2083707,62327,949,0.75,0.9555352254123732,0.9789068635149992,0.9038095238095238
2025-02-01,Duolingo,4,6101313,240882,4520,0.5714285714285714,0.12130358901629187,0.17380217972444992,0.24618736383442266
2025-02-01,Speak,3,44196564,1145073,13840,0.42857142857142855,0.8786964109837081,0.8261978202755501,0.7538126361655774
2025-03-01,Duolingo,2,15566795,968956,37081,0.6666666666666666,0.9979824039415663,0.9997111126701856,0.9991377684369358
2025-03-01,Speak,1,31471,280,32,0.3333333333333333,0.0020175960584336745,0.0002888873298144105,0.0008622315630641554
2025-04-01,Duolingo,4,10437068,269488,8018,0.6666666666666666,0.7684089319502013,0.671724976818848,0.8094084393296992
2025-04-01,Speak,2,3145632,131700,1888,0.3333333333333333,0.23159106804979865,0.328275023181152,0.19059156067030084
2025-05-01,Duolingo,1,894,13,0,1.0,1.0,1.0,0.0
2025-06-01,Duolingo,1,15747,244,31,0.3333333333333333,0.00546719958003908,0.002300085781887767,0.09779179810725552
2025-06-01,Speak,2,2864521,105839,286,0.6666666666666666,0.994532800419961,0.9976999142181122,0.9022082018927445
2025-07-01,Duolingo,3,276129,5847,681,0.75,0.06446451975591501,0.04506775193081441,0.6554379210779596
2025-07-01,Speak,1,4007297,123891,358,0.25,0.935535480244085,0.9549322480691856,0.34456207892204044
2025-08-01,Duolingo,2,10794,181,3,0.6666666666666666,0.000988649581060427,0.0007612686689574826,0.0012474012474012475
2025-08-01,Speak,1,10907129,237580,2402,0.3333333333333333,0.9990113504189396,0.9992387313310425,0.9987525987525988
2025-09-01,Duolingo,3,9023165,283624,9415,0.2727272727272727,0.8793081706826495,0.9476719514843711,0.9043319565843819
2025-09-01,Speak,8,1238499,15661,996,0.7272727272727273,0.12069182931735048,0.05232804851562892,0.09566804341561809
